1 8 cost_x, cost_check ( 1 3 6 2 1 1 ) x-i 0
1 10 cost_x, cost_check ( 1 3 7 2 1 1 ) x-i 0
1 12 cost_x, cost_check ( 1 3 8 2 1 1 ) x-i 0
1 14 cost_x, cost_check ( 1 3 9 2 1 1 ) x-i 0
1 16 cost_x, cost_check ( 1 3 10 2 1 1 ) x-i 0
0 4 cost_x, cost_check ( 1 4 4 2 1 1 ) x-i 1
1 5 cost_x, cost_check ( 1 4 5 2 1 1 ) x-i 0
1 7 cost_x, cost_check ( 1 4 6 2 1 1 ) x-i 0
1 9 cost_x, cost_check ( 1 4 7 2 1 1 ) x-i 0
1 11 cost_x, cost_check ( 1 4 8 2 1 1 ) x-i 0
1 13 cost_x, cost_check ( 1 4 9 2 1 1 ) x-i 0
1 15 cost_x, cost_check ( 1 4 10 2 1 1 ) x-i 0
0 5 cost_x, cost_check ( 1 5 5 2 1 1 ) x-i 1
1 6 cost_x, cost_check ( 1 5 6 2 1 1 ) x-i 0
1 8 cost_x, cost_check ( 1 5 7 2 1 1 ) x-i 0
1 10 cost_x, cost_check ( 1 5 8 2 1 1 ) x-i 0
1 12 cost_x, cost_check ( 1 5 9 2 1 1 ) x-i 0
1 14 cost_x, cost_check ( 1 5 10 2 1 1 ) x-i 0
0 6 cost_x, cost_check ( 1 6 6 2 1 1 ) x-i 1
1 7 cost_x, cost_check ( 1 6 7 2 1 1 ) x-i 0
1 9 cost_x, cost_check ( 1 6 8 2 1 1 ) x-i 0
1 11 cost_x, cost_check ( 1 6 9 2 1 1 ) x-i 0
1 13 cost_x, cost_check ( 1 6 10 2 1 1 ) x-i 0
0 7 cost_x, cost_check ( 1 7 7 2 1 1 ) x-i 1
1 8 cost_x, cost_check ( 1 7 8 2 1 1 ) x-i 0
1 10 cost_x, cost_check ( 1 7 9 2 1 1 ) x-i 0
1 12 cost_x, cost_check ( 1 7 10 2 1 1 ) x-i 0
0 8 cost_x, cost_check ( 1 8 8 2 1 1 ) x-i 1
1 9 cost_x, cost_check ( 1 8 9 2 1 1 ) x-i 0
1 11 cost_x, cost_check ( 1 8 10 2 1 1 ) x-i 0
0 9 cost_x, cost_check ( 1 9 9 2 1 1 ) x-i 1
1 10 cost_x, cost_check ( 1 9 10 2 1 1 ) x-i 0
0 10 cost_x, cost_check ( 1 10 10 2 1 1 ) x-i 1
0 2 cost_x, cost_check ( 2 2 2 2 1 1 ) x-i 2
1 3 cost_x, cost_check ( 2 2 3 2 1 1 ) x-i 1
2 4 cost_x, cost_check ( 2 2 4 2 1 1 ) x-i 0
2 6 cost_x, cost_check ( 2 2 5 2 1 1 ) x-i 0
2 8 cost_x, cost_check ( 2 2 6 2 1 1 ) x-i 0
2 10 cost_x, cost_check ( 2 2 7 2 1 1 ) x-i 0
